logic,rule_category,rule,problem,query,answer
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is cooking, or Sarah is playing squash and William is a carpenter. Can we infer the following from them? Answer yes or no: both Joseph is cooking or Sarah is playing squash and Joseph is cooking or William is a carpenter are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Elisabeth is climbing a mountain, and either William is sad or Sarah is drinking water. Can we infer the following from them? Answer yes or no: either Elisabeth is climbing a mountain and William is sad, or Elisabeth is climbing a mountain and Sarah is drinking water.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Richard is a scientist, and either Elisabeth is an artist or David is a soldier. Can we infer the following from them? Answer yes or no: either Richard is a scientist and Elisabeth is an artist, or Richard is a scientist and David is a soldier.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is late, and either it is windy or it is cloudy. Can we infer the following from them? Answer yes or no: either It is late and it is windy, or It is late and it is cloudy.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Linda is running, and either it is overcast or it is windy. Can we infer the following from them? Answer yes or no: either Linda is running and it is overcast, or Linda is running and it is windy.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Robert is a cashier, or it is cloudy and John is working. Can we infer the following from them? Answer yes or no: both Robert is a cashier or it is cloudy and Robert is a cashier or John is working are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Patricia is a bartender, or Mary is rich and Robert is working. Can we infer the following from them? Answer yes or no: both Patricia is a bartender or Mary is rich and Patricia is a bartender or Robert is working are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is happy, or Jessica is playing squash and Thomas is an astronaut. Can we infer the following from them? Answer yes or no: both Joseph is happy or Jessica is playing squash and Joseph is happy or Thomas is an astronaut are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: William is a politician, and either it is cloudy or it is raining. Can we infer the following from them? Answer yes or no: either William is a politician and it is cloudy, or William is a politician and it is raining.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is cloudy, or Michael is a mechanic and it is late. Can we infer the following from them? Answer yes or no: both It is cloudy or Michael is a mechanic and It is cloudy or it is late are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Thomas is listening to a song, and either Richard is a poet or David is working. Can we infer the following from them? Answer yes or no: either Thomas is listening to a song and Richard is a poet, or Thomas is listening to a song and David is working.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is playing squash, or Jessica is playing a game and it is windy. Can we infer the following from them? Answer yes or no: both Joseph is playing squash or Jessica is playing a game and Joseph is playing squash or it is windy are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Susan is sad, or Mary is fast and it is late. Can we infer the following from them? Answer yes or no: both Susan is sad or Mary is fast and Susan is sad or it is late are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Michael is playing squash, and either Elisabeth is sad or it is windy. Can we infer the following from them? Answer yes or no: either Michael is playing squash and Elisabeth is sad, or Michael is playing squash and it is windy.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is late, and either it is cold or John is climbing a mountain. Can we infer the following from them? Answer yes or no: either It is late and it is cold, or It is late and John is climbing a mountain.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Robert is playing a game, and either Susan is a writer or Jennifer is a politician. Can we infer the following from them? Answer yes or no: either Robert is playing a game and Susan is a writer, or Robert is playing a game and Jennifer is a politician.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: David is an astronaut, and either Charles is fast or it is overcast. Can we infer the following from them? Answer yes or no: either David is an astronaut and Charles is fast, or David is an astronaut and it is overcast.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Elisabeth is drinking water, and either John is playing tennis or it is windy. Can we infer the following from them? Answer yes or no: either Elisabeth is drinking water and John is playing tennis, or Elisabeth is drinking water and it is windy.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Richard is writing a letter, or it is late and David is a writer. Can we infer the following from them? Answer yes or no: both Richard is writing a letter or it is late and Richard is writing a letter or David is a writer are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Barbara is a lawyer, or Thomas is writing a letter and Sarah is climbing a mountain. Can we infer the following from them? Answer yes or no: both Barbara is a lawyer or Thomas is writing a letter and Barbara is a lawyer or Sarah is climbing a mountain are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Linda is excited, or Richard is running and Mary is a taxi driver. Can we infer the following from them? Answer yes or no: both Linda is excited or Richard is running and Linda is excited or Mary is a taxi driver are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is windy, and either Joseph is an artist or Jennifer is bored. Can we infer the following from them? Answer yes or no: either It is windy and Joseph is an artist, or It is windy and Jennifer is bored.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Patricia is rich, or Jennifer is writing a letter and it is raining. Can we infer the following from them? Answer yes or no: both Patricia is rich or Jennifer is writing a letter and Patricia is rich or it is raining are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is cold, or James is taking a plane and it is late. Can we infer the following from them? Answer yes or no: both It is cold or James is taking a plane and It is cold or it is late are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Mary is bored, or Karen is a janitor and Michael is a writer. Can we infer the following from them? Answer yes or no: both Mary is bored or Karen is a janitor and Mary is bored or Michael is a writer are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Barbara is sleeping, and either Michael is making tea or it is cloudy. Can we infer the following from them? Answer yes or no: either Barbara is sleeping and Michael is making tea, or Barbara is sleeping and it is cloudy.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: John is a mechanic, and either Joseph is an electrician or Charles is poor. Can we infer the following from them? Answer yes or no: either John is a mechanic and Joseph is an electrician, or John is a mechanic and Charles is poor.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is snowing, and either Jessica is running or Patricia is cooking. Can we infer the following from them? Answer yes or no: either It is snowing and Jessica is running, or It is snowing and Patricia is cooking.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Linda is making tea, or Thomas is sleeping and Linda is playing squash. Can we infer the following from them? Answer yes or no: both Linda is making tea or Thomas is sleeping and Linda is making tea or Linda is playing squash are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Michael is taking a plane, or it is cloudy and Barbara is driving a car. Can we infer the following from them? Answer yes or no: both Michael is taking a plane or it is cloudy and Michael is taking a plane or Barbara is driving a car are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is overcast, or it is late and James is playing tennis. Can we infer the following from them? Answer yes or no: both It is overcast or it is late and It is overcast or James is playing tennis are true.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: David is not a taxi driver or it is cloudy. Can we infer the following from them? Answer yes or no: If David were a taxi driver, then it is cloudy.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Robert plays squash, then it is sunny. Can we infer the following from them? Answer yes or no: Robert is not playing squash or it is sunny.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Joseph is not taking a plane or Sarah is an electrician. Can we infer the following from them? Answer yes or no: If Joseph takes a plane, then Sarah is an electrician.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Richard is not a poet or Linda is working. Can we infer the following from them? Answer yes or no: If Richard were a poet, then Linda is working.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Patricia were an electrician, then it is sunny. Can we infer the following from them? Answer yes or no: Patricia is not an electrician or it is sunny.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Jessica is not reading a book or it is snowing. Can we infer the following from them? Answer yes or no: If Jessica reads a book, then it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Mary is not drinking water or it is overcast. Can we infer the following from them? Answer yes or no: If Mary drinks water, then it is overcast.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If it rains, then Joseph is an artist. Can we infer the following from them? Answer yes or no: It is not raining or Joseph is an artist.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Michael is not a writer or it is cold. Can we infer the following from them? Answer yes or no: If Michael were a writer, then it is cold.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Elisabeth writes a letter, then Jennifer is driving a car. Can we infer the following from them? Answer yes or no: Elisabeth is not writing a letter or Jennifer is driving a car.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Jennifer takes a plane, then it is cold. Can we infer the following from them? Answer yes or no: Jennifer is not taking a plane or it is cold.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Karen sleeps, then it is snowing. Can we infer the following from them? Answer yes or no: Karen is not sleeping or it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not snowing or Richard is sleeping. Can we infer the following from them? Answer yes or no: If it snows, then Richard is sleeping.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If it snows, then it is cold. Can we infer the following from them? Answer yes or no: It is not snowing or it is cold.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Charles is not playing squash or it is snowing. Can we infer the following from them? Answer yes or no: If Charles plays squash, then it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Richard is not playing squash or it is snowing. Can we infer the following from them? Answer yes or no: If Richard plays squash, then it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: David is not a poet or John is an electrician. Can we infer the following from them? Answer yes or no: If David were a poet, then John is an electrician.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: David is not sleeping or Joseph is drinking water. Can we infer the following from them? Answer yes or no: If David sleeps, then Joseph is drinking water.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If it is windy, then Patricia is excited. Can we infer the following from them? Answer yes or no: It is not windy or Patricia is excited.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Karen goes running, then William is climbing a mountain. Can we infer the following from them? Answer yes or no: Karen is not running or William is climbing a mountain.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: William is not working or Joseph is a nurse. Can we infer the following from them? Answer yes or no: If William works, then Joseph is a nurse.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not raining or it is snowing. Can we infer the following from them? Answer yes or no: If it rains, then it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Joseph were a politician, then Joseph is playing tennis. Can we infer the following from them? Answer yes or no: Joseph is not a politician or Joseph is playing tennis.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Joseph is not playing tennis or David is running. Can we infer the following from them? Answer yes or no: If Joseph plays tennis, then David is running.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: William is not listening to a song or David is a janitor. Can we infer the following from them? Answer yes or no: If William listens to a song, then David is a janitor.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Charles goes running, then Robert is a sailor. Can we infer the following from them? Answer yes or no: Charles is not running or Robert is a sailor.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Patricia is not writing a letter or it is raining. Can we infer the following from them? Answer yes or no: If Patricia writes a letter, then it is raining.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Jennifer were a politician, then Michael is a police officer. Can we infer the following from them? Answer yes or no: Jennifer is not a politician or Michael is a police officer.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Richard were a scientist, then it is windy. Can we infer the following from them? Answer yes or no: Richard is not a scientist or it is windy.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Robert is not making tea or it is late. Can we infer the following from them? Answer yes or no: If Robert makes tea, then it is late.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not windy or it is overcast. Can we infer the following from them? Answer yes or no: If it is windy, then it is overcast.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Sarah is not taking a plane or Charles is an office clerk. Can we infer the following from them? Answer yes or no: If Sarah takes a plane, then Charles is an office clerk.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Charles works, then it is windy. Can we infer the following from them? Answer yes or no: Charles is not working or it is windy.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Charles is not making tea or David is an office clerk. Can we infer the following from them? Answer yes or no: If Charles makes tea, then David is an office clerk.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Jessica is not a sailor or it is sunny. Can we infer the following from them? Answer yes or no: If Jessica were a sailor, then it is sunny.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not windy or it is cloudy. Can we infer the following from them? Answer yes or no: If it is windy, then it is cloudy.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not raining or Barbara is cooking. Can we infer the following from them? Answer yes or no: If it rains, then Barbara is cooking.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Susan is not an office clerk or Thomas is playing a game. Can we infer the following from them? Answer yes or no: If Susan were an office clerk, then Thomas is playing a game.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If it is sunny, then Thomas is drinking water. Can we infer the following from them? Answer yes or no: It is not sunny or Thomas is drinking water.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Robert is not a musician or Barbara is excited. Can we infer the following from them? Answer yes or no: If Robert were a musician, then Barbara is excited.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Mary is not playing squash or it is sunny. Can we infer the following from them? Answer yes or no: If Mary plays squash, then it is sunny.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If it snows, then Susan is working. Can we infer the following from them? Answer yes or no: It is not snowing or Susan is working.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Karen climbs a mountain, then Elisabeth is a poet. Can we infer the following from them? Answer yes or no: Karen is not climbing a mountain or Elisabeth is a poet.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not sunny or it is snowing. Can we infer the following from them? Answer yes or no: If it is sunny, then it is snowing.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Richard is not an electrician or Susan is a writer. Can we infer the following from them? Answer yes or no: If Richard were an electrician, then Susan is a writer.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Thomas is not a lawyer or Richard is a sailor. Can we infer the following from them? Answer yes or no: If Thomas were a lawyer, then Richard is a sailor.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Charles were happy, then Jennifer is a sailor. Can we infer the following from them? Answer yes or no: Charles is not happy or Jennifer is a sailor.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: If Mary were bored, then Charles is taking a plane. Can we infer the following from them? Answer yes or no: Mary is not bored or Charles is taking a plane.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: It is not windy or Elisabeth is sad. Can we infer the following from them? Answer yes or no: If it is windy, then Elisabeth is sad.",yes
propositional,equivalent,conditional laws,inference,"Consider the following premises: Thomas is not a nurse or Jennifer is drinking water. Can we infer the following from them? Answer yes or no: If Thomas were a nurse, then Jennifer is drinking water.",yes
propositional,equivalent,complement laws,inference,Consider the following premises: David is a politician. Can we infer the following from them? Answer yes or no: David is a politician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: James is bored. Can we infer the following from them? Answer yes or no: James is bored.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: John is fast. Can we infer the following from them? Answer yes or no: John is fast.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: It is snowing.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Linda is a taxi driver. Can we infer the following from them? Answer yes or no: Linda is a taxi driver.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is cold.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Jessica is making tea. Can we infer the following from them? Answer yes or no: Jessica is making tea.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: It is snowing.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Jessica is a politician. Can we infer the following from them? Answer yes or no: Jessica is a politician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: David is a poet. Can we infer the following from them? Answer yes or no: David is a poet.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: David is a scientist. Can we infer the following from them? Answer yes or no: David is a scientist.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is cloudy. Can we infer the following from them? Answer yes or no: It is cloudy.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Sarah is listening to a song. Can we infer the following from them? Answer yes or no: Sarah is listening to a song.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Joseph is an electrician. Can we infer the following from them? Answer yes or no: Joseph is an electrician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Joseph is playing tennis. Can we infer the following from them? Answer yes or no: Joseph is playing tennis.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Jessica is a mechanic. Can we infer the following from them? Answer yes or no: Jessica is a mechanic.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is raining.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is writing a letter. Can we infer the following from them? Answer yes or no: William is writing a letter.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is cold.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Thomas is an electrician. Can we infer the following from them? Answer yes or no: Thomas is an electrician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Susan is a soldier. Can we infer the following from them? Answer yes or no: Susan is a soldier.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Elisabeth is a politician. Can we infer the following from them? Answer yes or no: Elisabeth is a politician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is overcast. Can we infer the following from them? Answer yes or no: It is overcast.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is late.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is cold.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Thomas is playing a game. Can we infer the following from them? Answer yes or no: Thomas is playing a game.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Linda is a scientist. Can we infer the following from them? Answer yes or no: Linda is a scientist.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Sarah is a nurse. Can we infer the following from them? Answer yes or no: Sarah is a nurse.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Susan is a politician. Can we infer the following from them? Answer yes or no: Susan is a politician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is playing squash. Can we infer the following from them? Answer yes or no: William is playing squash.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: David is a musician. Can we infer the following from them? Answer yes or no: David is a musician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is a server. Can we infer the following from them? Answer yes or no: William is a server.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Richard is excited. Can we infer the following from them? Answer yes or no: Richard is excited.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Linda is running. Can we infer the following from them? Answer yes or no: Linda is running.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Linda is making tea. Can we infer the following from them? Answer yes or no: Linda is making tea.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is raining.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: David is fast. Can we infer the following from them? Answer yes or no: David is fast.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is sunny. Can we infer the following from them? Answer yes or no: It is sunny.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is reading a book. Can we infer the following from them? Answer yes or no: William is reading a book.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is raining.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Barbara is an electrician. Can we infer the following from them? Answer yes or no: Barbara is an electrician.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Elisabeth is a carpenter. Can we infer the following from them? Answer yes or no: Elisabeth is a carpenter.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is late.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: Elisabeth is drinking water. Can we infer the following from them? Answer yes or no: Elisabeth is drinking water.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is running. Can we infer the following from them? Answer yes or no: William is running.,yes
propositional,equivalent,complement laws,inference,Consider the following premises: William is playing a game. Can we infer the following from them? Answer yes or no: William is playing a game.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that Michael is a carpenter and the claim that it is windy cannot both be true. Can we infer the following from them? Answer yes or no: Michael is not a carpenter or it is not windy.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is cold and the claim that Jennifer is a poet cannot both be true. Can we infer the following from them? Answer yes or no: It is not cold or Jennifer is not a poet.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is overcast and the claim that James is working cannot both be true. Can we infer the following from them? Answer yes or no: It is not overcast or James is not working.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: Neither James is a taxi driver nor John is writing a letter. Can we infer the following from them? Answer yes or no: James is not a taxi driver and John is not writing a letter.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is snowing and the claim that Mary is a poet cannot both be true. Can we infer the following from them? Answer yes or no: It is not snowing or Mary is not a poet.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that Thomas is driving a car and the claim that David is a nurse cannot both be true. Can we infer the following from them? Answer yes or no: Thomas is not driving a car or David is not a nurse.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: Neither it is windy nor it is sunny. Can we infer the following from them? Answer yes or no: It is not windy and it is not sunny.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is sunny and the claim that Jessica is driving a car cannot both be true. Can we infer the following from them? Answer yes or no: It is not sunny or Jessica is not driving a car.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is sunny and the claim that Susan is running cannot both be true. Can we infer the following from them? Answer yes or no: It is not sunny or Susan is not running.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: Neither James is a doctor nor it is windy. Can we infer the following from them? Answer yes or no: James is not a doctor and it is not windy.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: Neither it is snowing nor it is windy. Can we infer the following from them? Answer yes or no: It is not snowing and it is not windy.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that it is windy and the claim that Barbara is making tea cannot both be true. Can we infer the following from them? Answer yes or no: It is not windy or Barbara is not making tea.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: The claim that Patricia is a mechanic and the claim that Barbara is playing squash cannot both be true. Can we infer the following from them? Answer yes or no: Patricia is not a mechanic or Barbara is not playing squash.,yes
propositional,equivalent,De Morgan's laws,inference,Consider the following premises: Neither William is excited nor it is cold. Can we infer the following from them? Answer yes or no: William is not excited and it is not cold.,yes
