question,target
"Consider the following premises: If Linda were a bartender, then it is overcast. If it is overcast, then Susan is rich. If it is overcast, then Linda is a bartender. Linda is a bartender if and only if Susan is listening to a song. Susan is rich if and only if Susan is listening to a song. Can we infer the following from them? Answer yes or no: It is not overcast or Linda is a bartender.",yes
"Consider the following premises: Jessica is sleeping if and only if Karen is reading a book. It is snowing if and only if Karen is reading a book. If Robert cooks, then Jessica is sleeping. If Jessica sleeps, then it is snowing and if it snows, then Jessica is sleeping. If it is windy, then Karen is reading a book. If it is not windy, then Robert is cooking. Can we infer the following from them? Answer yes or no: Jessica is sleeping.",yes
"Consider the following premises: If Mary were a janitor, then Jessica is playing squash. Joseph is drinking water or it is windy. It is windy if and only if Thomas is working. If Joseph drinks water, then Mary is a janitor. Can we infer the following from them? Answer yes or no: Neither Jessica is playing squash nor Thomas is working.",no
"Consider the following premises: Thomas is fast if and only if it is not raining. Elisabeth is not climbing a mountain. Elisabeth is climbing a mountain or it is raining. If it is overcast, then Thomas is fast. Thomas is not fast or it is snowing. If it snows, then it is overcast. Can we infer the following from them? Answer yes or no: Sarah is not a politician.",no
"Consider the following premises: If Robert cooks, then Joseph is not curious. The claim that Patricia is reading a book and the claim that Joseph is curious cannot both be true. Joseph is not curious if and only if Robert is cooking. If Robert cooks, then Patricia is reading a book. If Joseph were not curious, then Robert is cooking. Can we infer the following from them? Answer yes or no: Joseph is not curious.",no
"Consider the following premises: If Mary makes tea, then Linda is drinking water. If Linda drinks water, then Jennifer is playing tennis. Mary is making tea if and only if Thomas is a server. If Robert were happy, then Jennifer is playing tennis. Linda is not drinking water or Jennifer is playing tennis. If Linda drinks water, then Robert is happy. If Jennifer plays tennis, then Linda is drinking water. Can we infer the following from them? Answer yes or no: The fact that Thomas were a server does not imply that Jennifer is playing tennis.",no
"Consider the following premises: Jessica is poor if and only if Patricia is a janitor. Jessica is not poor or Patricia is a janitor. Patricia is not a janitor. If Jessica were poor, then Michael is a lawyer and if Michael were a lawyer, then Jessica is poor. Can we infer the following from them? Answer yes or no: Michael is not a lawyer.",yes
"Consider the following premises: If it is overcast, then it is windy. James is not writing a letter. If it is overcast, then it is windy. If it is windy, then it is overcast. It is overcast if and only if it is windy. It is cloudy if and only if James is writing a letter. It is cloudy if and only if it is overcast. If it is windy, then it is overcast. Can we infer the following from them? Answer yes or no: It is not windy.",yes
"Consider the following premises: If it is cloudy, then Karen is listening to a song. James is not a sailor or Sarah is bored. If it is cloudy, then Patricia is playing tennis. If Patricia plays tennis, then James is a sailor. If James were a sailor, then it is cloudy. Sarah is bored if and only if James is a sailor. If Sarah were bored, then James is a sailor. Can we infer the following from them? Answer yes or no: The fact that Sarah were bored does not imply that Karen is listening to a song.",no
"Consider the following premises: If Robert takes a plane, then it is late. If James were sad, then Karen is making tea. Michael is playing a game if and only if Linda is a mechanic. Karen is not an office clerk or Robert is taking a plane. If James were sad, then it is sunny. If Michael plays a game, then Karen is an office clerk. It is not late. Karen is making tea if and only if Linda is a mechanic. Can we infer the following from them? Answer yes or no: It is sunny.",no
"Consider the following premises: Jennifer is drinking water if and only if Michael is excited. Michael is not a nurse or Thomas is a doctor. If John reads a book, then Michael is a nurse. If Elisabeth were happy, then Patricia is working. If Thomas were a doctor, then Sarah is playing a game. If Elisabeth were happy, then Jennifer is drinking water. John is reading a book if and only if Michael is excited. Sarah is not playing a game. Can we infer the following from them? Answer yes or no: Patricia is working.",no
"Consider the following premises: Mary is writing a letter if and only if Mary is playing a game. If Michael drinks water, then David is an electrician. If Michael drinks water, then David is an electrician. Mary is writing a letter. If James cooks, then Mary is not playing a game. David is not an electrician or Michael is drinking water. If David were an electrician, then James is cooking. Can we infer the following from them? Answer yes or no: Michael is not drinking water.",no
"Consider the following premises: If Jessica plays a game, then Joseph is listening to a song. If Jessica plays a game, then Elisabeth is a taxi driver. If Elisabeth were a taxi driver, then it is snowing. Joseph is listening to a song if and only if Jessica is playing a game. If Barbara reads a book, then it is snowing. If it snows, then Jessica is playing a game. Can we infer the following from them? Answer yes or no: If Joseph listens to a song, then Barbara is reading a book.",no
"Consider the following premises: If Joseph were a server, then Barbara is a lawyer. If Barbara were a lawyer, then Patricia is an astronaut. If Patricia were an astronaut, then Jennifer is poor. If Jennifer were poor, then Barbara is a lawyer. Jennifer is a poet if and only if Patricia is an astronaut. If Patricia were an astronaut, then Jennifer is a poet. Can we infer the following from them? Answer yes or no: If Jennifer were a poet, then Joseph is a server.",no
"Consider the following premises: If Susan were a scientist, then Thomas is taking a plane. Jessica is poor if and only if David is making tea. If David makes tea, then Jessica is poor. If David makes tea, then Susan is a scientist. If it is sunny, then Thomas is taking a plane. If Thomas takes a plane, then David is making tea. Can we infer the following from them? Answer yes or no: If Jessica were poor, then it is sunny.",no
"Consider the following premises: If it is windy, then Jennifer is sleeping and if Jennifer sleeps, then it is windy. Michael is not a server or Michael is a bartender. If William were a politician, then Michael is a server. If Michael were a bartender, then it is windy. If Michael were a server, then William is a politician. Can we infer the following from them? Answer yes or no: If Jennifer sleeps, then William is a politician.",no
"Consider the following premises: If David climbs a mountain, then it is windy. If it is windy, then it is cloudy and if it is cloudy, then it is windy. If Karen were a scientist, then Joseph is drinking water. If Joseph drinks water, then Karen is a scientist. Joseph is not drinking water or David is climbing a mountain. Can we infer the following from them? Answer yes or no: If it is cloudy, then Karen is a scientist.",no
"Consider the following premises: If Karen were a poet, then it is windy. If Jennifer were rich, then Joseph is making tea and if Joseph makes tea, then Jennifer is rich. If John plays a game, then Jennifer is rich. If it is windy, then Karen is a poet. Karen is not a poet or John is playing a game. Can we infer the following from them? Answer yes or no: If Joseph makes tea, then it is windy.",no
"Consider the following premises: For all x_30, if x_30 were a mechanic, then x_30 is making tea. For all x_30, x_30 will play tennis if and only if x_30 will make tea. For all x_30, x_30 will make tea if and only if x_30 is a scientist. For all x_30, x_30 will play tennis if and only if x_30 is a scientist. For all x_30, if x_30 makes tea, then x_30 is a mechanic. Can we infer the following from them? Answer yes or no: For all x_30, if x_30 plays tennis, then x_30 is a mechanic.",yes
"Consider the following premises: For all x_38, x_38 will not drink water. For all x_38, x_38 will go running if and only if x_38 is a carpenter. There is at least one x_38 for which if x_38 were a carpenter, then x_38 is running. For all x_38, x_38 will go running or x_38 is a scientist. For all x_38, x_38 will drink water if and only if x_38 is a carpenter. Can we infer the following from them? Answer yes or no: There is at least one x_38 for which x_38 is a scientist.",yes
"Consider the following premises: For all x_38, x_38 will not cook. For all x_38, x_38 is a carpenter. For all x_38, x_38 will cook if and only if x_38 will go running. For all x_38, if x_38 were an office clerk, then x_38 is a politician. For all x_38, x_38 is an office clerk if and only if x_38 is excited. There is at least one x_38 for which x_38 is a carpenter if and only if x_38 is excited. Can we infer the following from them? Answer yes or no: There is at least one x_38 for which x_38 is a politician.",yes
"Consider the following premises: There is at least one x_35 for which if x_35 were sad, then x_35 is a poet. For all x_35, x_35 will not drink water. For all x_35, if x_35 works, then x_35 is drinking water. For all x_35, if x_35 works, then x_35 is a poet. For all x_35, if x_35 were a poet, then x_35 is working. For all x_35, if x_35 were sad, then x_35 is sleeping and if x_35 sleeps, then x_35 is sad. Can we infer the following from them? Answer yes or no: For all x_35, x_35 will sleep.",no
"Consider the following premises: For all x_28, if x_28 were an electrician, then x_28 is a taxi driver and if x_28 were a taxi driver, then x_28 is an electrician. For all x_28, if x_28 were an electrician, then x_28 is sleeping and if x_28 sleeps, then x_28 is an electrician. For all x_28, x_28 will not write a letter. For all x_28, x_28 will write a letter if and only if x_28 will sleep. Can we infer the following from them? Answer yes or no: There is no x_28 for which x_28 is a taxi driver.",yes
"Consider the following premises: For all x_33, if x_33 plays tennis, then x_33 is bored. For all x_33, x_33 is bored. For all x_33, x_33 will not play tennis or x_33 is bored. For all x_33, x_33 will not play tennis or x_33 will make tea. For all x_33, if x_33 makes tea, then x_33 is playing tennis. For all x_33, if x_33 were bored, then x_33 is playing tennis. Can we infer the following from them? Answer yes or no: For all x_33, x_33 will play tennis.",yes
"Consider the following premises: There is at least one x_29 for which if x_29 were fast, then x_29 is writing a letter. For all x_29, if x_29 cooks, then x_29 is writing a letter and if x_29 writes a letter, then x_29 is cooking. For all x_29, x_29 will make tea if and only if x_29 will write a letter. For all x_29, x_29 will not make tea or x_29 will cook. Can we infer the following from them? Answer yes or no: There is at least one x_29 for which x_29 is not fast or x_29 will cook.",yes
"Consider the following premises: There is at least one x_38 for which if x_38 climbs a mountain, then x_38 is rich. For all x_38, if x_38 were fast, then x_38 is climbing a mountain. For all x_38, if x_38 works, then x_38 is writing a letter. For all x_38, if x_38 writes a letter, then x_38 is an office clerk. For all x_38, if x_38 were an office clerk, then x_38 is fast. For all x_38, x_38 will write a letter if and only if x_38 will listen to a song. For all x_38, if x_38 were rich, then x_38 is working. For all x_38, x_38 is fast. Can we infer the following from them? Answer yes or no: There is at least one x_38 for which x_38 is a writer or x_38 will listen to a song.",yes
"Consider the following premises: For all x_31, x_31 is not excited or x_31 is a poet. For all x_31, x_31 is a nurse or x_31 is a nurse. For all x_31, if x_31 were a scientist, then x_31 is not a nurse. For all x_31, if x_31 were a poet, then x_31 is a politician. For all x_31, if x_31 were a politician, then x_31 is excited. For all x_31, x_31 is a scientist if and only if x_31 is a politician. Can we infer the following from them? Answer yes or no: For all x_31, x_31 is not a poet.",yes
"Consider the following premises: For all x_35, x_35 is a taxi driver if and only if x_35 is a bartender. For all x_35, x_35 will not work. For all x_35, x_35 is not a taxi driver or x_35 is a cashier. For all x_35, if x_35 were a cashier, then x_35 is writing a letter. For all x_35, if x_35 writes a letter, then x_35 is working. For all x_35, if x_35 writes a letter, then x_35 is a cashier. For all x_35, x_35 will work if and only if x_35 will write a letter. Can we infer the following from them? Answer yes or no: For all x_35, x_35 is not a bartender.",yes
"Consider the following premises: For all x_34, if x_34 climbs a mountain, then x_34 is drinking water and if x_34 drinks water, then x_34 is climbing a mountain. For all x_34, if x_34 climbs a mountain, then x_34 is a carpenter. For all x_34, x_34 is not bored. For all x_34, if x_34 were a carpenter, then x_34 is a sailor. For all x_34, x_34 is not a cashier or x_34 is bored. For all x_34, if x_34 were a sailor, then x_34 is a cashier. Can we infer the following from them? Answer yes or no: For all x_34, x_34 will not drink water.",yes
"Consider the following premises: For all x_40, x_40 is excited if and only if x_40 is a doctor. For all x_40, if x_40 drives a car, then x_40 is a doctor and if x_40 were a doctor, then x_40 is driving a car. For all x_40, x_40 will not play tennis. There is at least one x_40 for which x_40 will play tennis if and only if x_40 will drive a car. Can we infer the following from them? Answer yes or no: For all x_40, x_40 is excited.",no
"Consider the following premises: For all x_31, x_31 will read a book if and only if x_31 is rich. There is at least one x_31 for which x_31 will work or x_31 will sleep. For all x_31, if x_31 sleeps, then x_31 is reading a book. For all x_31, if x_31 were rich, then x_31 is sleeping. For all x_31, if x_31 works, then x_31 is writing a letter. Can we infer the following from them? Answer yes or no: For all x_31, neither x_31 is rich nor x_31 will write a letter.",no
"Consider the following premises: For all x_30, if x_30 were poor, then x_30 is a soldier. For all x_30, if x_30 were a soldier, then x_30 is listening to a song. For all x_30, if x_30 listens to a song, then x_30 is reading a book. For all x_30, if x_30 were happy, then x_30 is a lawyer. For all x_30, if x_30 reads a book, then x_30 is poor. For all x_30, x_30 is not a lawyer or x_30 is a soldier. Can we infer the following from them? Answer yes or no: There is at least one x_30 for which the fact that x_30 were happy does not imply that x_30 is reading a book.",no
"Consider the following premises: For all x_49, x_49 is a scientist. There is at least one x_49 for which if x_49 plays tennis, then x_49 is a janitor. For all x_49, if x_49 plays a game, then x_49 is a scientist. For all x_49, if x_49 plays a game, then x_49 is an electrician. For all x_49, if x_49 plays tennis, then x_49 is a carpenter and if x_49 were a carpenter, then x_49 is playing tennis. For all x_49, if x_49 were a scientist, then x_49 is playing a game. For all x_49, if x_49 were a janitor, then x_49 is not an electrician. For all x_49, x_49 is a musician if and only if x_49 will play a game. Can we infer the following from them? Answer yes or no: For all x_49, x_49 is a carpenter.",no
"Consider the following premises: For all x_36, x_36 will drive a car if and only if x_36 is an artist. For all x_36, x_36 will cook if and only if x_36 will write a letter. There is at least one x_36 for which x_36 is an artist if and only if x_36 will write a letter. For all x_36, x_36 will drive a car if and only if x_36 will cook. For all x_36, if x_36 drives a car, then x_36 is cooking. Can we infer the following from them? Answer yes or no: There is at least one x_36 for which x_36 will drive a car.",no
"Consider the following premises: For all x_31, if x_31 were a soldier, then x_31 is playing squash. For all x_31, if x_31 were a soldier, then x_31 is playing squash. There is at least one x_31 for which x_31 will listen to a song if and only if x_31 will play squash. For all x_31, if x_31 listens to a song, then x_31 is a soldier. Can we infer the following from them? Answer yes or no: There is at least one x_31 for which x_31 is a soldier if and only if x_31 will play squash.",yes
"Consider the following premises: For all x_50, x_50 will play tennis. For all x_50, if x_50 goes running, then x_50 is curious. For all x_50, if x_50 plays a game, then x_50 is running. For all x_50, if x_50 plays tennis, then x_50 is a nurse. There is at least one x_50 for which if x_50 were a nurse, then x_50 is playing a game. Can we infer the following from them? Answer yes or no: There is at least one x_50 for which x_50 will sleep or x_50 is curious.",yes
"Consider the following premises: For all x_33, if x_33 plays a game, then x_33 is writing a letter. For all x_33, if x_33 plays a game, then x_33 is a cashier. For all x_33, x_33 will play a game if and only if x_33 will write a letter. For all x_33, x_33 is a cashier if and only if x_33 will read a book. For all x_33, x_33 will not read a book. For all x_33, x_33 will write a letter if and only if x_33 is a server. Can we infer the following from them? Answer yes or no: For all x_33, x_33 is not a server.",yes
"Consider the following premises: There is at least one x_34 for which if x_34 sleeps, then x_34 is a server and if x_34 were a server, then x_34 is sleeping. For all x_34, if x_34 were a writer, then x_34 is sleeping. For all x_34, x_34 is a writer if and only if x_34 will sleep. For all x_34, if x_34 sleeps, then x_34 is a writer. For all x_34, x_34 is not a server or x_34 will sleep. Can we infer the following from them? Answer yes or no: There is at least one x_34 for which if x_34 were a server, then x_34 is a writer.",yes
"Consider the following premises: There is no x_34 for which x_34 is happy. For all x_34, x_34 will drive a car if and only if x_34 is happy. For all x_34, if x_34 climbs a mountain, then x_34 is reading a book. There is at least one x_34 for which if x_34 were a lawyer, then x_34 is climbing a mountain. For all x_34, if x_34 were a nurse, then x_34 is a lawyer. For all x_34, if x_34 drives a car, then x_34 is reading a book and if x_34 reads a book, then x_34 is driving a car. Can we infer the following from them? Answer yes or no: There is at least one x_34 for which x_34 is not a nurse.",yes
"Consider the following premises: For all x_32, if x_32 were an office clerk, then x_32 is excited. For all x_32, if x_32 were sad, then x_32 is an office clerk. For all x_32, if x_32 were excited, then x_32 is an office clerk. There is at least one x_32 for which if x_32 listens to a song, then x_32 is sad. For all x_32, x_32 is excited. Can we infer the following from them? Answer yes or no: There is at least one x_32 for which x_32 is a soldier.",no
"Consider the following premises: For all x_49, x_49 is a mechanic if and only if x_49 is a writer. For all x_49, x_49 will not sleep. There is at least one x_49 for which if x_49 were a writer, then x_49 is drinking water. For all x_49, x_49 will drink water if and only if x_49 will sleep. For all x_49, x_49 is a mechanic if and only if x_49 is a soldier. For all x_49, x_49 is a soldier if and only if x_49 will go running. For all x_49, if x_49 climbs a mountain, then x_49 is running. For all x_49, x_49 will not go running or x_49 will climb a mountain. Can we infer the following from them? Answer yes or no: There is at least one x_49 for which x_49 will not cook.",no
"Consider the following premises: Karen is playing tennis. For all x_53, if x_53 were a nurse, then x_53 is playing tennis and if x_53 plays tennis, then x_53 is a nurse. For all x_53, if x_53 writes a letter, then x_53 is playing tennis. For all x_53, if x_53 were a nurse, then x_53 is a carpenter. For all x_53, if x_53 were a carpenter, then x_53 is writing a letter. For all x_53, x_53 will not sleep or x_53 is a nurse. Can we infer the following from them? Answer yes or no: There is at least one x_53 for which x_53 is a nurse or x_53 will take a plane.",yes
"Consider the following premises: For all x_33, if x_33 works, then x_33 is a soldier. For all x_33, if x_33 plays squash, then x_33 is working. For all x_33, if x_33 were a soldier, then x_33 is a sailor and if x_33 were a sailor, then x_33 is a soldier. For all x_33, x_33 is a sailor. Can we infer the following from them? Answer yes or no: For all x_33, x_33 is a soldier.",yes
"Consider the following premises: For all x_58, if x_58 works, then x_58 is a scientist. There is at least one x_58 for which x_58 is not a scientist. For all x_58, x_58 will work and x_58 will work. For all x_43, x_43 is a police officer. Can we infer the following from them? Answer yes or no: There is at least one x_58 for which x_58 is a cashier and x_58 is a police officer.",yes
"Consider the following premises: For all x_34, if x_34 were a police officer, then x_34 is a poet. For all x_34, x_34 will cook. For all x_34, if x_34 were a poet, then x_34 is not cooking. There is at least one x_34 for which if x_34 drives a car, then x_34 is climbing a mountain. For all x_34, x_34 is a police officer if and only if x_34 will climb a mountain. For all x_34, if x_34 climbs a mountain, then x_34 is driving a car. For all x_34, if x_34 climbs a mountain, then x_34 is a police officer. Can we infer the following from them? Answer yes or no: There is at least one x_34 for which x_34 will not drive a car.",yes
"Consider the following premises: For all x_45, x_45 is a scientist if and only if x_45 will read a book. For all x_45, if x_45 reads a book, then x_45 is playing a game. For all x_45, x_45 will not cook or x_45 will take a plane. For all x_45, if x_45 plays a game, then x_45 is taking a plane. For all x_45, if x_45 takes a plane, then x_45 is reading a book. There is at least one x_45 for which x_45 is not a politician or x_45 will read a book. For all x_45, x_45 is a politician or x_45 will cook. Can we infer the following from them? Answer yes or no: There is at least one x_45 for which x_45 is a scientist.",yes
"Consider the following premises: For all x_37, x_37 will write a letter if and only if x_37 is an office clerk. For all x_45, x_45 will sleep if and only if x_45 is a politician. For all x_45, if x_45 were a politician, then x_45 is playing tennis. For all x_45, if x_45 were a nurse, then x_45 is playing tennis. For all x_37, x_37 will not play tennis or x_37 is an office clerk. For all x_45, x_45 is a nurse or x_45 will sleep. There is at least one x_37 for which if x_37 were an office clerk, then x_37 is writing a letter. Can we infer the following from them? Answer yes or no: There is at least one x_37 for which x_37 will write a letter.",yes
"Consider the following premises: For all x_32, if x_32 sleeps, then x_32 is writing a letter and if x_32 writes a letter, then x_32 is sleeping. For all x_32, if x_32 were a doctor, then x_32 is sleeping. For all x_32, x_32 is a doctor or x_32 is an electrician. For all x_32, if x_32 plays squash, then x_32 is writing a letter. For all x_32, x_32 will write a letter if and only if x_32 is an electrician. For all x_32, if x_32 writes a letter, then x_32 is playing squash. Can we infer the following from them? Answer yes or no: For all x_32, x_32 will play squash.",yes
"Consider the following premises: For all x_28, if x_28 were a cashier, then x_28 is drinking water. For all x_28, x_28 will not drink water or x_28 is a cashier. There is at least one x_28 for which if x_28 plays tennis, then x_28 is drinking water. For all x_28, if x_28 drinks water, then x_28 is a writer. For all x_28, if x_28 were a writer, then x_28 is playing tennis. Can we infer the following from them? Answer yes or no: There is at least one x_28 for which if x_28 were a cashier, then x_28 is playing tennis.",yes
"Consider the following premises: For all x_32, x_32 is a carpenter if and only if x_32 will take a plane. For all x_32, x_32 is a poet if and only if x_32 is sad. For all x_32, x_32 is a carpenter if and only if x_32 will cook. For all x_32, x_32 will not cook. For all x_32, if x_32 takes a plane, then x_32 is sad and if x_32 were sad, then x_32 is taking a plane. Can we infer the following from them? Answer yes or no: For all x_32, x_32 is a taxi driver.",no
