question,target
"Consider the following premises: The claim that it is snowing and the claim that Jennifer is a janitor cannot both be true. If Jennifer were not a janitor, then Michael is reading a book and if Michael reads a book, then Jennifer is not a janitor. If Michael reads a book, then it is raining. If it rains, then it is snowing. Can we infer the following from them? Answer yes or no: It is raining if and only if it is snowing.",yes
"Consider the following premises: If it rains, then Barbara is curious. It is overcast if and only if Susan is taking a plane. The claim that it is overcast and the claim that it is cloudy cannot both be true. If it is not cloudy, then it is raining. Barbara is curious if and only if Barbara is excited. If Barbara were excited, then Susan is taking a plane. Can we infer the following from them? Answer yes or no: Susan is taking a plane if and only if Barbara is curious.",yes
"Consider the following premises: If Sarah were a musician, then it is cloudy. If Linda drives a car, then Sarah is a musician. Elisabeth is climbing a mountain if and only if it is sunny. If it is cloudy, then Linda is driving a car. If it is windy, then it is sunny. If it is sunny, then it is windy. Linda is driving a car if and only if it is windy. It is not cloudy. Can we infer the following from them? Answer yes or no: Elisabeth is not climbing a mountain or Richard is happy.",yes
"Consider the following premises: If Sarah goes running, then it is snowing and if it snows, then Sarah is running. If Mary were a server, then Sarah is running. Mary is a server if and only if Joseph is working. Sarah is not running. If it snows, then Joseph is working. Can we infer the following from them? Answer yes or no: It is not snowing.",yes
"Consider the following premises: If Sarah sleeps, then it is late. Susan is a scientist or Michael is playing tennis. If it is late, then Sarah is sleeping. If Michael plays tennis, then it is late and if it is late, then Michael is playing tennis. If Susan were a scientist, then Sarah is sleeping. Can we infer the following from them? Answer yes or no: It is snowing.",no
"Consider the following premises: If Richard were a taxi driver, then Sarah is a politician. If Thomas goes running, then Barbara is cooking. Richard is a taxi driver if and only if Elisabeth is a police officer. If Barbara cooks, then Thomas is running. If Sarah were a politician, then Thomas is running. If Barbara cooks, then Elisabeth is a police officer. If Sarah were a politician, then Elisabeth is a police officer. Can we infer the following from them? Answer yes or no: Elisabeth is a police officer.",no
Consider the following premises: Richard is a bartender if and only if John is playing tennis. Can we infer the following from them? Answer yes or no: It is not sunny.,no
"Consider the following premises: If Thomas takes a plane, then Barbara is cooking. If Barbara cooks, then Thomas is taking a plane. If Thomas takes a plane, then Barbara is cooking. If James listens to a song, then Thomas is taking a plane. If Barbara cooks, then James is listening to a song. Can we infer the following from them? Answer yes or no: Barbara is cooking or Thomas is not taking a plane.",yes
"Consider the following premises: It is cloudy if and only if it is cold. It is late if and only if it is windy. It is cloudy if and only if it is cold. It is not windy or it is cold. If it is cloudy, then it is late. Can we infer the following from them? Answer yes or no: It is late if and only if it is cold.",yes
"Consider the following premises: If it is overcast, then Charles is an office clerk. If it is cold, then Elisabeth is a doctor. If it snows, then it is overcast and if it is overcast, then it is snowing. It is snowing if and only if Elisabeth is a doctor. If Charles were an office clerk, then it is cold. Can we infer the following from them? Answer yes or no: It is not true that Elisabeth is a doctor if and only if it is snowing.",no
"Consider the following premises: It is windy if and only if it is raining. It is not windy or it is raining. If it rains, then it is windy. If it is windy, then it is raining. Can we infer the following from them? Answer yes or no: It is not raining or it is windy.",yes
"Consider the following premises: If it is late, then it is overcast. It is sunny if and only if it is cloudy. If it is sunny, then it is late. If Linda drives a car, then it is cloudy. It is not overcast or Susan is a doctor. If Susan were a doctor, then Linda is driving a car. Can we infer the following from them? Answer yes or no: Neither it is not cloudy nor it is sunny.",no
"Consider the following premises: If Michael listens to a song, then Robert is a janitor. Michael is not a lawyer or Sarah is a cashier. Michael is listening to a song if and only if Robert is a janitor. If Robert were a janitor, then Michael is a lawyer. Can we infer the following from them? Answer yes or no: Michael is not listening to a song or Sarah is a cashier.",yes
"Consider the following premises: If Elisabeth climbs a mountain, then Susan is driving a car. If Susan drives a car, then Charles is listening to a song. If Susan drives a car, then Elisabeth is climbing a mountain. If Charles listens to a song, then Elisabeth is climbing a mountain. Can we infer the following from them? Answer yes or no: Barbara is curious.",no
"Consider the following premises: If Joseph doesn't drive a car, then it is windy. If Joseph doesn't drive a car, then it is windy. The claim that it is windy and the claim that Joseph is driving a car cannot both be true. Can we infer the following from them? Answer yes or no: It is not true that it is windy if and only if Joseph is not driving a car.",no
Consider the following premises: It is cold if and only if Robert is taking a plane. Charles is a carpenter and Charles is a carpenter. David is not rich. Robert is taking a plane if and only if David is rich. Can we infer the following from them? Answer yes or no: Charles is a carpenter.,yes
"Consider the following premises: If James were a janitor, then it is windy. It is not raining. If Sarah were a politician, then Elisabeth is drinking water. If Elisabeth drinks water, then James is a janitor. If James were a janitor, then it is raining. It is windy if and only if Sarah is a politician. Can we infer the following from them? Answer yes or no: It is not windy.",yes
"Consider the following premises: If Sarah were a server, then Karen is reading a book and if Karen reads a book, then Sarah is a server. If Sarah were a server, then Robert is a taxi driver. Robert is a taxi driver if and only if Sarah is a server. If Sarah were a server, then Karen is reading a book. Robert is a taxi driver. Can we infer the following from them? Answer yes or no: Karen is reading a book.",yes
"Consider the following premises: If it is cold, then Charles is a doctor and if Charles were a doctor, then it is cold. It is cold or John is drinking water. If it is cloudy, then John is drinking water. John is not drinking water or it is cloudy. Can we infer the following from them? Answer yes or no: Charles is a doctor or it is cloudy.",yes
"Consider the following premises: If Linda sleeps, then it is cloudy and if it is cloudy, then Linda is sleeping. Jessica is not driving a car. Jessica is driving a car or it is windy. If it is windy, then Linda is sleeping. If Linda sleeps, then it is windy. Can we infer the following from them? Answer yes or no: It is not cloudy.",no
"Consider the following premises: Susan is a scientist if and only if Jessica is a mechanic. If Susan were a scientist, then Patricia is an astronaut. Jessica is a mechanic if and only if Patricia is an astronaut. It is overcast if and only if Jessica is a mechanic. Can we infer the following from them? Answer yes or no: If Patricia were an astronaut, then it is overcast.",yes
"Consider the following premises: Jessica is not sleeping if and only if it is raining. If Michael doesn't write a letter, then it is raining. If it rains, then Michael is not writing a letter. David is driving a car if and only if Patricia is making tea. If it rains, then Patricia is making tea. The claim that Jessica is sleeping and the claim that Michael is writing a letter cannot both be true. Can we infer the following from them? Answer yes or no: It is not late.",no
"Consider the following premises: If James listens to a song, then it is windy and if it is windy, then James is listening to a song. It is windy if and only if James is listening to a song. If it is windy, then James is listening to a song. Can we infer the following from them? Answer yes or no: If it is windy, then James is listening to a song and if James listens to a song, then it is windy.",yes
"Consider the following premises: If Richard were a mechanic, then Patricia is an electrician. If it is late, then it is cloudy. It is raining and it is windy. If Patricia were an electrician, then it is late. If it is cloudy, then Elisabeth is an office clerk. If Elisabeth were an office clerk, then it is cloudy. If Elisabeth were an office clerk, then it is raining. Can we infer the following from them? Answer yes or no: Richard is a mechanic.",no
"Consider the following premises: David is not a soldier or Richard is taking a plane. If Patricia plays tennis, then Patricia is climbing a mountain. Patricia is playing tennis if and only if Patricia is climbing a mountain. If Patricia climbs a mountain, then David is a soldier. If Richard takes a plane, then Patricia is climbing a mountain. Can we infer the following from them? Answer yes or no: If Patricia plays tennis, then Richard is taking a plane.",no
"Consider the following premises: If Jennifer were rich, then David is an electrician. If Thomas were fast, then David is an electrician. Barbara is not a writer or Jennifer is rich. If David were an electrician, then Barbara is a writer. Thomas is fast if and only if David is an electrician. Can we infer the following from them? Answer yes or no: If Thomas were fast, then Jennifer is rich.",no
"Consider the following premises: If it snows, then James is writing a letter and if James writes a letter, then it is snowing. Can we infer the following from them? Answer yes or no: If James writes a letter, then it is snowing.",no
"Consider the following premises: If Robert sleeps, then it is overcast. It is not overcast or Susan is working. Thomas is playing squash if and only if Robert is sleeping. If Susan works, then Robert is sleeping. If Thomas plays squash, then Robert is sleeping. Can we infer the following from them? Answer yes or no: If Thomas plays squash, then Susan is working.",no
"Consider the following premises: If Susan drives a car, then David is reading a book and if David reads a book, then Susan is driving a car. Can we infer the following from them? Answer yes or no: If David reads a book, then Susan is driving a car.",no
"Consider the following premises: If it is sunny, then Sarah is playing squash. Susan is not a carpenter or Thomas is sleeping. If Sarah plays squash, then Susan is a carpenter. If Thomas sleeps, then Charles is climbing a mountain. John is not a doctor or it is sunny. If Sarah plays squash, then it is sunny. Can we infer the following from them? Answer yes or no: If Charles climbs a mountain, then John is a doctor.",no
"Consider the following premises: Sarah is a writer if and only if Linda is a janitor. John is climbing a mountain if and only if Michael is drinking water. John is not climbing a mountain. If it is windy, then Linda is a janitor and if Linda were a janitor, then it is windy. Michael is drinking water or it is windy. Can we infer the following from them? Answer yes or no: Sarah is a writer.",no
"Consider the following premises: If Karen cooks, then it is not cold. Jessica is not writing a letter or it is cloudy. Karen is not cooking if and only if Robert is taking a plane. If Karen doesn't cook, then Robert is taking a plane. Robert is taking a plane if and only if it is cloudy. It is cold. Can we infer the following from them? Answer yes or no: Jessica is writing a letter.",no
"Consider the following premises: For all x_35, x_35 is not an electrician or x_35 will play a game. For all x_35, x_35 will play a game or x_35 will play a game. For all x_35, if x_35 makes tea, then x_35 is an electrician. For all x_35, x_35 will make tea if and only if x_35 will play a game. Can we infer the following from them? Answer yes or no: For all x_35, x_35 is an electrician.",yes
"Consider the following premises: For all x_44, if x_44 takes a plane, then x_44 is running. There is at least one x_44 for which x_44 is poor if and only if x_44 will go running. For all x_44, x_44 is a server. For all x_44, x_44 is not a server or x_44 will take a plane. Can we infer the following from them? Answer yes or no: For all x_44, neither x_44 will go running nor x_44 will drive a car.",no
"Consider the following premises: For all x_22, if x_22 climbs a mountain, then x_22 is curious. For all x_22, if x_22 goes running, then x_22 is sad. For all x_22, x_22 is not curious. For all x_22, if x_22 climbs a mountain, then x_22 is sad. For all x_22, if x_22 were curious, then x_22 is climbing a mountain. For all x_22, if x_22 were sad, then x_22 is climbing a mountain. For all x_22, if x_22 climbs a mountain, then x_22 is running. Can we infer the following from them? Answer yes or no: There is at least one x_22 for which x_22 is sad.",no
"Consider the following premises: For all x_35, if x_35 sleeps, then x_35 is taking a plane and if x_35 takes a plane, then x_35 is sleeping. For all x_35, x_35 will sleep if and only if x_35 will take a plane. There is at least one x_35 for which x_35 will sleep. Can we infer the following from them? Answer yes or no: For all x_35, neither x_35 will go running nor x_35 will take a plane.",no
"Consider the following premises: For all x_17, x_17 is happy or x_17 will make tea. For all x_17, if x_17 makes tea, then x_17 is playing a game. For all x_17, if x_17 plays a game, then x_17 is making tea. Can we infer the following from them? Answer yes or no: For all x_17, x_17 will play a game.",no
"Consider the following premises: For all x_23, x_23 will not sleep. For all x_23, if x_23 makes tea, then x_23 is sleeping and if x_23 sleeps, then x_23 is making tea. There is at least one x_23 for which x_23 will make tea if and only if x_23 is a nurse. Can we infer the following from them? Answer yes or no: There is at least one x_23 for which x_23 is not a nurse.",yes
"Consider the following premises: For all x_27, if x_27 makes tea, then x_27 is working. For all x_27, x_27 will take a plane if and only if x_27 will work. For all x_27, if x_27 makes tea, then x_27 is a carpenter and if x_27 were a carpenter, then x_27 is making tea. For all x_27, if x_27 makes tea, then x_27 is a carpenter. For all x_27, if x_27 goes running, then x_27 is making tea. For all x_27, if x_27 were a carpenter, then x_27 is running. For all x_27, x_27 will not take a plane. Can we infer the following from them? Answer yes or no: For all x_27, x_27 is not a carpenter.",yes
"Consider the following premises: For all x_23, x_23 will not go running or x_23 is a janitor. For all x_23, if x_23 takes a plane, then x_23 is running. For all x_23, if x_23 goes running, then x_23 is taking a plane. There is at least one x_23 for which x_23 is fast or x_23 will take a plane. Can we infer the following from them? Answer yes or no: There is at least one x_23 for which x_23 is a janitor.",no
"Consider the following premises: There is at least one x_37 for which x_37 will sleep. For all x_37, x_37 will work. For all x_37, x_37 will write a letter and x_37 is an office clerk. Can we infer the following from them? Answer yes or no: The claim that there is at least one x_37 for which x_37 will sleep and the claim that there is at least one x_37 for which x_37 will write a letter cannot both be true.",no
"Consider the following premises: For all x_19, x_19 is not fast. For all x_19, if x_19 plays a game, then x_19 is playing tennis. For all x_19, if x_19 plays tennis, then x_19 is playing a game. For all x_19, x_19 is fast if and only if x_19 will play a game. Can we infer the following from them? Answer yes or no: For all x_19, x_19 will not play tennis.",yes
"Consider the following premises: For all x_40, x_40 will not go running or x_40 is happy. For all x_40, if x_40 were a mechanic, then x_40 is bored. There is at least one x_40 for which x_40 is an electrician if and only if x_40 is bored. For all x_40, x_40 will go running or x_40 is a mechanic. For all x_40, if x_40 were happy, then x_40 is bored. Can we infer the following from them? Answer yes or no: There is at least one x_40 for which x_40 is an electrician.",yes
"Consider the following premises: For all x_22, x_22 will not go running. For all x_22, if x_22 goes running, then x_22 is a sailor. For all x_22, if x_22 goes running, then x_22 is a sailor. For all x_22, x_22 will go running if and only if x_22 is a sailor. Can we infer the following from them? Answer yes or no: For all x_22, x_22 is fast.",no
"Consider the following premises: For all x_32, x_32 is a server. For all x_32, if x_32 were a server, then x_32 is drinking water. Can we infer the following from them? Answer yes or no: For all y, y will drink water.",yes
"Consider the following premises: There is at least one x_26 for which if x_26 were a nurse, then x_26 is working. For all x_26, if x_26 were a musician, then x_26 is excited. For all x_26, x_26 is a poet if and only if x_26 is a nurse. For all x_26, if x_26 works, then x_26 is a musician. For all x_26, if x_26 were excited, then x_26 is a poet. Can we infer the following from them? Answer yes or no: There is at least one x_26 for which x_26 is excited if and only if x_26 will work.",yes
"Consider the following premises: For all x_26, x_26 will sleep and x_26 will work. Can we infer the following from them? Answer yes or no: There is at least one x_26 for which x_26 will not work.",no
"Consider the following premises: For all x_29, x_29 is not fast. For all x_29, x_29 is not a lawyer or x_29 is an electrician. For all x_29, if x_29 works, then x_29 is a nurse. For all x_29, if x_29 were a nurse, then x_29 is fast. For all x_29, if x_29 works, then x_29 is a lawyer. For all x_29, if x_29 were an electrician, then x_29 is working. Can we infer the following from them? Answer yes or no: There is at least one x_29 for which x_29 is a lawyer.",no
"Consider the following premises: For all x_49, x_49 will play squash or x_49 is fast. There is at least one x_49 for which if x_49 were fast, then x_49 is excited. For all x_49, if x_49 works, then x_49 is writing a letter. For all x_49, x_49 will make tea if and only if x_49 will cook. For all x_49, if x_49 writes a letter, then x_49 is cooking. For all x_49, if x_49 plays squash, then x_49 is excited. For all x_49, if x_49 were excited, then x_49 is writing a letter. Can we infer the following from them? Answer yes or no: There is at least one x_49 for which x_49 is sad or x_49 will make tea.",yes
"Consider the following premises: For all x_22, if x_22 were a nurse, then x_22 is excited. For all x_22, if x_22 climbs a mountain, then x_22 is a nurse. For all x_22, if x_22 were a nurse, then x_22 is excited. There is at least one x_22 for which if x_22 were a nurse, then x_22 is climbing a mountain. For all x_22, if x_22 were excited, then x_22 is a nurse. Can we infer the following from them? Answer yes or no: There is at least one x_22 for which x_22 will climb a mountain.",no
"Consider the following premises: For all x_25, x_25 will drink water if and only if x_25 is a taxi driver. For all x_25, x_25 is not an electrician or x_25 will drink water. There is at least one x_25 for which x_25 is an electrician or x_25 is an office clerk. For all x_25, x_25 is happy if and only if x_25 is an office clerk. For all x_25, if x_25 were a taxi driver, then x_25 is drinking water. Can we infer the following from them? Answer yes or no: There is at least one x_25 for which x_25 is happy or x_25 is a taxi driver.",yes
"Consider the following premises: For all x_51, if x_51 plays a game, then x_51 is working and if x_51 works, then x_51 is playing a game. There is at least one x_51 for which x_51 will drink water if and only if x_51 will work. For all x_51, x_51 will not drink water. For all x_51, x_51 is a soldier. For all x_51, x_51 will play a game if and only if x_51 will play tennis. For all x_51, x_51 will play tennis or x_51 is a carpenter. Can we infer the following from them? Answer yes or no: Some soldiers are carpenters.",yes
"Consider the following premises: There is at least one x_25 for which if x_25 plays squash, then x_25 is running. For all x_25, x_25 will not work or x_25 will play a game. For all x_25, x_25 is sad or x_25 will work. For all x_25, if x_25 goes running, then x_25 is playing a game. For all x_25, x_25 is not sad or x_25 will play squash. Can we infer the following from them? Answer yes or no: There is at least one x_25 for which x_25 will play a game.",yes
"Consider the following premises: For all x_22, if x_22 plays tennis, then x_22 is climbing a mountain. There is at least one x_22 for which x_22 is not rich or x_22 will climb a mountain. For all x_22, x_22 will not climb a mountain or x_22 will play tennis. Can we infer the following from them? Answer yes or no: There is at least one x_22 for which if x_22 were rich, then x_22 is playing tennis.",yes
"Consider the following premises: For all x_25, if x_25 were an office clerk, then x_25 is a musician. There is at least one x_25 for which if x_25 were a musician, then x_25 is climbing a mountain. For all x_25, x_25 will climb a mountain if and only if x_25 is an office clerk. For all x_25, if x_25 were a musician, then x_25 is climbing a mountain. For all x_25, if x_25 climbs a mountain, then x_25 is a musician. Can we infer the following from them? Answer yes or no: For all x_25, it is not true that x_25 will climb a mountain if and only if x_25 is a musician.",no
"Consider the following premises: For all x_29, x_29 will play tennis or x_29 will drive a car. There is at least one x_29 for which x_29 will drive a car if and only if x_29 is bored. For all x_29, if x_29 were bored, then x_29 is driving a car. For all x_29, if x_29 drives a car, then x_29 is bored. Can we infer the following from them? Answer yes or no: There is at least one x_29 for which x_29 is bored or x_29 will play tennis.",yes
"Consider the following premises: For all x_32, if x_32 goes running, then x_32 is drinking water. For all x_32, if x_32 plays tennis, then x_32 is listening to a song. For all x_32, x_32 will go running. For all x_32, if x_32 listens to a song, then x_32 is making tea. For all x_32, x_32 will not listen to a song. For all x_32, x_32 will not make tea or x_32 will play tennis. Can we infer the following from them? Answer yes or no: For all x_32, x_32 will not read a book.",no
"Consider the following premises: For all x_32, if x_32 listens to a song, then x_32 is climbing a mountain and if x_32 climbs a mountain, then x_32 is listening to a song. There is at least one x_32 for which if x_32 were a soldier, then x_32 is climbing a mountain and if x_32 climbs a mountain, then x_32 is a soldier. For all x_32, x_32 is not a soldier. For all x_32, if x_32 listens to a song, then x_32 is climbing a mountain. Can we infer the following from them? Answer yes or no: Not for all x_32, x_32 will listen to a song.",yes
"Consider the following premises: For all x_19, if x_19 were a taxi driver, then x_19 is a police officer. For all x_19, x_19 is a cashier. For all x_19, if x_19 were a cashier, then x_19 is a police officer and if x_19 were a police officer, then x_19 is a cashier. Can we infer the following from them? Answer yes or no: For all x_19, x_19 is a police officer.",yes
"Consider the following premises: For all x_21, if x_21 were happy, then x_21 is playing a game. For all x_21, x_21 is happy if and only if x_21 is an office clerk. For all x_21, if x_21 plays a game, then x_21 is a soldier. Can we infer the following from them? Answer yes or no: For all x_21, if x_21 were an office clerk, then x_21 is a soldier.",yes
"Consider the following premises: For all x_28, x_28 will not sleep or x_28 will listen to a song. For all x_28, if x_28 goes running, then x_28 is sleeping. For all x_28, x_28 will go running if and only if x_28 will listen to a song. There is no x_28 for which x_28 will play a game. For all x_28, x_28 will not go running or x_28 will play a game. Can we infer the following from them? Answer yes or no: For all x_28, x_28 will not listen to a song.",yes
"Consider the following premises: There is at least one x_43 for which x_43 will take a plane if and only if x_43 will play squash. For all x_43, x_43 is rich if and only if x_43 is curious. For all x_43, x_43 will climb a mountain if and only if x_43 will take a plane. For all x_43, if x_43 were a soldier, then x_43 is not reading a book. For all x_43, if x_43 plays squash, then x_43 is a soldier. For all x_43, if x_43 were curious, then x_43 is climbing a mountain. For all x_43, x_43 will read a book. Can we infer the following from them? Answer yes or no: Not for all x_43, x_43 is rich.",yes
"Consider the following premises: For all x_33, x_33 is a poet if and only if x_33 will write a letter. There is at least one x_33 for which x_33 is fast or x_33 is sad. For all x_33, x_33 is not fast or x_33 is a lawyer. For all x_33, if x_33 were sad, then x_33 is a poet and if x_33 were a poet, then x_33 is sad. For all x_33, x_33 will write a letter if and only if x_33 is a lawyer. Can we infer the following from them? Answer yes or no: For all x_33, x_33 will not write a letter.",no
"Consider the following premises: For all x_28, if x_28 were a writer, then x_28 is a doctor. For all x_28, x_28 will not write a letter or x_28 is an astronaut. For all x_28, if x_28 plays a game, then x_28 is a writer. There is at least one x_28 for which x_28 is not a writer or x_28 will write a letter. For all x_28, if x_28 were a doctor, then x_28 is playing a game. For all x_28, if x_28 writes a letter, then x_28 is a writer. Can we infer the following from them? Answer yes or no: There is at least one x_28 for which x_28 is a writer.",no
"Consider the following premises: For all x_26, if x_26 were a police officer, then x_26 is a doctor. There is at least one x_26 for which if x_26 plays squash, then x_26 is a carpenter and if x_26 were a carpenter, then x_26 is playing squash. For all x_26, if x_26 were a taxi driver, then x_26 is a carpenter. For all x_26, x_26 is not a doctor. For all x_26, if x_26 were a police officer, then x_26 is a taxi driver. For all x_26, if x_26 were a carpenter, then x_26 is a police officer. Can we infer the following from them? Answer yes or no: For all x_26, x_26 will play squash.",no
"Consider the following premises: For all x_29, x_29 is fast or x_29 is fast. For all x_29, if x_29 were a musician, then x_29 is an electrician. For all x_29, if x_29 were an electrician, then x_29 is an astronaut. For all x_29, x_29 is fast if and only if x_29 is an astronaut. For all x_29, if x_29 were an astronaut, then x_29 is an electrician. Can we infer the following from them? Answer yes or no: There is at least one x_29 for which x_29 is not an electrician.",no
"Consider the following premises: For all x_36, x_36 will not drink water or x_36 is sad. For all x_36, x_36 will take a plane. For all x_36, x_36 will read a book if and only if x_36 will play squash. There is at least one x_36 for which x_36 will sleep if and only if x_36 is an electrician. For all x_36, if x_36 were sad, then x_36 is playing squash. For all x_36, if x_36 were an electrician, then x_36 is not playing squash. For all x_36, x_36 will drink water or x_36 will read a book. Can we infer the following from them? Answer yes or no: There is at least one x_36 for which x_36 will not sleep.",yes
"Consider the following premises: X_31 is poor. For all x_36, if x_36 were a musician, then x_36 is a server. For all x_36, if x_36 were happy, then x_36 is a server. For all x_36, x_36 is a musician or x_36 is happy. Can we infer the following from them? Answer yes or no: For all x_36, x_36 is a server.",yes
"Consider the following premises: There is at least one x_29 for which x_29 is not a scientist or x_29 will listen to a song. For all x_29, if x_29 listens to a song, then x_29 is an office clerk. For all x_29, if x_29 were an artist, then x_29 is an office clerk and if x_29 were an office clerk, then x_29 is an artist. There is no x_29 for which x_29 is an artist. Can we infer the following from them? Answer yes or no: There is at least one x_29 for which x_29 is not sad.",no
"Consider the following premises: For all x_28, if x_28 cooks, then x_28 is writing a letter. For all x_28, x_28 will work if and only if x_28 will write a letter. For all x_28, if x_28 listens to a song, then x_28 is running. For all x_28, x_28 will not write a letter or x_28 will climb a mountain. For all x_28, if x_28 works, then x_28 is listening to a song. For all x_28, x_28 will not go running. For all x_28, if x_28 climbs a mountain, then x_28 is cooking. Can we infer the following from them? Answer yes or no: For all x_28, x_28 will not cook.",yes
"Consider the following premises: For all x_36, x_36 will play squash and x_36 will climb a mountain. For all x_39, x_39 will play tennis or x_39 is curious. For all x_39, if x_39 plays tennis, then x_39 is reading a book. For all x_39, if x_39 plays a game, then x_39 is reading a book. For all x_39, if x_39 reads a book, then x_39 is playing tennis. For all x_39, if x_39 were curious, then x_39 is playing a game. Can we infer the following from them? Answer yes or no: For all x_39, x_39 will play squash and x_39 will read a book.",yes
"Consider the following premises: For all x_35, x_35 will play a game or x_35 is an astronaut. For all x_35, x_35 is an astronaut if and only if x_35 will play squash. For all x_35, if x_35 plays a game, then x_35 is writing a letter. For all x_35, if x_35 writes a letter, then x_35 is playing a game. There is no x_35 for which x_35 will write a letter. Can we infer the following from them? Answer yes or no: For all x_35, x_35 will play squash or x_35 will work.",yes
"Consider the following premises: For all x_32, if x_32 drives a car, then x_32 is poor. For all x_32, if x_32 were an electrician, then x_32 is playing a game. For all x_32, x_32 will not cook or x_32 is an electrician. For all x_32, x_32 will not play a game. For all x_32, x_32 will drive a car or for all x_32, x_32 will cook. For all x_32, if x_32 were poor, then x_32 is reading a book. Can we infer the following from them? Answer yes or no: For all x_32, x_32 will not sleep.",no
