question,target
Consider the following premises: Thomas is listening to a song. David is cooking if and only if Thomas is listening to a song. Can we infer the following from them? Answer yes or no: David is not cooking.,no
Consider the following premises: It is not sunny if and only if David is a police officer. It is sunny. Can we infer the following from them? Answer yes or no: David is not a police officer.,yes
"Consider the following premises: It is snowing if and only if Patricia is listening to a song. Can we infer the following from them? Answer yes or no: If Patricia listens to a song, then it is snowing.",yes
"Consider the following premises: If Charles climbs a mountain, then Jennifer is listening to a song. If Jennifer listens to a song, then David is a nurse. If David were a nurse, then Jennifer is listening to a song. David is not a nurse. Can we infer the following from them? Answer yes or no: Charles is not climbing a mountain.",yes
"Consider the following premises: If Michael were happy, then Richard is sad. If Richard were sad, then Michael is happy. Can we infer the following from them? Answer yes or no: Richard is sad.",no
Consider the following premises: It is raining if and only if Mary is making tea. It is not raining. Can we infer the following from them? Answer yes or no: Mary is not making tea.,yes
"Consider the following premises: It is overcast if and only if it is cloudy. Can we infer the following from them? Answer yes or no: If it is cloudy, then it is overcast.",yes
"Consider the following premises: If William were a cashier, then Linda is making tea. It is snowing or William is a cashier. If Linda makes tea, then it is snowing and if it snows, then Linda is making tea. Can we infer the following from them? Answer yes or no: Linda is making tea.",yes
Consider the following premises: The claim that it is windy and the claim that Richard is drinking water cannot both be true. Michael is not a cashier. Michael is a cashier if and only if it is not windy. Can we infer the following from them? Answer yes or no: Richard is not drinking water.,yes
"Consider the following premises: Patricia is a janitor if and only if it is overcast. Can we infer the following from them? Answer yes or no: If it is overcast, then Patricia is a janitor.",yes
Consider the following premises: Charles is a cashier if and only if it is not raining. Charles is a cashier or Thomas is a janitor. It is raining. Can we infer the following from them? Answer yes or no: Thomas is a janitor.,yes
"Consider the following premises: It is not cold or David is playing tennis. If David plays tennis, then it is cold. Can we infer the following from them? Answer yes or no: Mary is not writing a letter.",no
"Consider the following premises: Patricia is not an astronaut or it is cloudy. David is not making tea. If Patricia were an astronaut, then David is making tea. Can we infer the following from them? Answer yes or no: It is cloudy.",no
"Consider the following premises: James is not working. James is working if and only if Barbara is playing squash. If Barbara plays squash, then John is sleeping. If John sleeps, then it is late. Can we infer the following from them? Answer yes or no: It is not late.",no
Consider the following premises: Patricia is not a bartender. The claim that Patricia is a bartender and the claim that William is curious cannot both be true. Can we infer the following from them? Answer yes or no: William is curious.,no
"Consider the following premises: Patricia is an artist if and only if it is cold. If it is late, then it is cold. Can we infer the following from them? Answer yes or no: If Patricia were an artist, then it is late.",no
"Consider the following premises: If it is late, then Mary is not playing squash. Neither Mary is playing squash nor it is sunny. Can we infer the following from them? Answer yes or no: It is late.",no
"Consider the following premises: Neither it is sunny nor Michael is a mechanic. If William were bored, then it is not sunny. Can we infer the following from them? Answer yes or no: William is bored.",no
"Consider the following premises: If it is cold, then it is cloudy. William is a cashier if and only if it is cloudy. Can we infer the following from them? Answer yes or no: If William were a cashier, then it is cold.",no
"Consider the following premises: If Charles drives a car, then it is windy. Michael is sleeping if and only if it is windy. Can we infer the following from them? Answer yes or no: If Michael sleeps, then Charles is driving a car.",no
"Consider the following premises: If it is cloudy, then Karen is fast. It is not cloudy or Linda is a doctor. Karen is not fast. Can we infer the following from them? Answer yes or no: Linda is a doctor.",no
"Consider the following premises: There is at least one x_12 for which x_12 is a server or x_12 is curious. For all x_12, if x_12 were a police officer, then x_12 is playing squash. For all x_12, if x_12 were curious, then x_12 is a police officer. For all x_12, x_12 is not a server. Can we infer the following from them? Answer yes or no: There is at least one x_12 for which x_12 is a carpenter.",no
"Consider the following premises: There is at least one x_3 for which x_3 will drink water and x_3 is a nurse. For all x_3, x_3 will drink water if and only if x_3 is a soldier. Can we infer the following from them? Answer yes or no: For all x_3, x_3 is not a soldier.",no
"Consider the following premises: For all x_9, x_9 will drive a car. Can we infer the following from them? Answer yes or no: Karen is a mechanic.",no
"Consider the following premises: For all x_7, x_7 is a doctor if and only if x_7 will play squash. There is at least one x_7 for which x_7 will not play tennis. For all x_7, if x_7 plays squash, then x_7 is playing tennis. Can we infer the following from them? Answer yes or no: There is at least one x_7 for which x_7 is not a doctor.",yes
"Consider the following premises: For all x_6, if x_6 were an office clerk, then x_6 is excited. For all x_6, if x_6 were excited, then x_6 is an office clerk. There is at least one x_6 for which x_6 is not excited. Can we infer the following from them? Answer yes or no: For all x_6, x_6 is an office clerk.",no
"Consider the following premises: For all x_7, x_7 is a cashier or x_7 is a police officer. For all x_7, x_7 is not a cashier. Can we infer the following from them? Answer yes or no: There is at least one y for which y is not a police officer.",no
"Consider the following premises: For all x_6, if x_6 drives a car, then x_6 is a police officer. For all x_6, x_6 will drive a car or x_6 is an artist. For all x_6, x_6 is a police officer if and only if x_6 is an artist. Can we infer the following from them? Answer yes or no: For all x_6, x_6 is a police officer.",yes
"Consider the following premises: For all x_2, x_2 will not play tennis or x_2 is fast. There is at least one x_2 for which x_2 will play tennis or x_2 will take a plane. Can we infer the following from them? Answer yes or no: There is at least one x_2 for which x_2 will take a plane or x_2 is fast.",yes
"Consider the following premises: For all x_9, x_9 will play a game. Can we infer the following from them? Answer yes or no: Joseph is playing a game.",yes
"Consider the following premises: There is at least one x_4 for which x_4 is a politician. For all x_4, if x_4 were a politician, then x_4 is listening to a song. Can we infer the following from them? Answer yes or no: There is at least one x_4 for which x_4 will go running.",no
"Consider the following premises: There is at least one x_8 for which if x_8 works, then x_8 is not an office clerk. For all x_8, x_8 will not cook or x_8 will work. For all x_8, x_8 is an office clerk. Can we infer the following from them? Answer yes or no: There is at least one x_8 for which x_8 will climb a mountain.",no
"Consider the following premises: For all x_16, x_16 will go running. There is at least one x_16 for which x_16 is a politician. For all x_16, if x_16 were a politician, then x_16 is an astronaut. Can we infer the following from them? Answer yes or no: There is at least one x_16 for which x_16 will go running and x_16 is an astronaut.",yes
"Consider the following premises: For all x_12, x_12 will play squash or x_12 is a nurse. There is at least one x_12 for which x_12 will cook. For all x_12, if x_12 were a nurse, then x_12 is sad. For all x_12, x_12 is sad if and only if x_12 will play squash. Can we infer the following from them? Answer yes or no: There is at least one x_12 for which x_12 is sad and x_12 will cook.",yes
"Consider the following premises: There is at least one x_8 for which if x_8 cooks, then x_8 is a taxi driver. For all x_8, if x_8 were a taxi driver, then x_8 is cooking. Can we infer the following from them? Answer yes or no: There is at least one x_8 for which x_8 will not cook or x_8 is a taxi driver.",yes
"Consider the following premises: X_13 is excited. For all y_13, y_13 is an office clerk. For all y_13, if y_13 were an office clerk, then y_13 is drinking water. Can we infer the following from them? Answer yes or no: There is at least one y_13 for which y_13 will drink water and y_13 is excited.",yes
"Consider the following premises: There is at least one x_7 for which if x_7 drives a car, then x_7 is a janitor. For all x_7, x_7 is a taxi driver if and only if x_7 is a scientist. For all x_7, if x_7 were a taxi driver, then x_7 is driving a car. Can we infer the following from them? Answer yes or no: For all x_7, the fact that x_7 were a scientist does not imply that x_7 is a janitor.",no
"Consider the following premises: For all x_5, if x_5 were poor, then x_5 is drinking water. There is at least one x_5 for which x_5 will not drink water. Can we infer the following from them? Answer yes or no: There is at least one x_5 for which x_5 will play squash.",no
"Consider the following premises: X_5 is climbing a mountain. Can we infer the following from them? Answer yes or no: For all z, z will climb a mountain.",yes
"Consider the following premises: For all x_5, x_5 is an astronaut. There is at least one x_5 for which x_5 will take a plane. Can we infer the following from them? Answer yes or no: There is at least one x_5 for which x_5 is an astronaut and there is at least one x_5 for which x_5 will take a plane.",yes
"Consider the following premises: For all x_10, x_10 is an electrician. For all x_10, if x_10 plays tennis, then x_10 is a politician. For all x_10, if x_10 were an electrician, then x_10 is a scientist. For all x_10, if x_10 were a scientist, then x_10 is playing tennis. Can we infer the following from them? Answer yes or no: For all x_10, x_10 will not climb a mountain.",no
"Consider the following premises: For all x_7, if x_7 were a scientist, then x_7 is sleeping. There is no x_7 for which x_7 will sleep. For all x_7, if x_7 sleeps, then x_7 is a scientist. Can we infer the following from them? Answer yes or no: For all x_7, x_7 is rich.",no
"Consider the following premises: For all x_6, x_6 will not listen to a song. For all x_6, x_6 will cook or x_6 will listen to a song. There is at least one x_6 for which if x_6 cooks, then x_6 is reading a book. Can we infer the following from them? Answer yes or no: For all x_6, x_6 will not read a book.",no
"Consider the following premises: For all x_8, if x_8 were a taxi driver, then x_8 is making tea. For all x_8, x_8 is a taxi driver or x_8 will play tennis. There is at least one x_8 for which x_8 will play tennis if and only if x_8 is a bartender. For all x_8, if x_8 makes tea, then x_8 is a bartender. Can we infer the following from them? Answer yes or no: There is at least one x_8 for which x_8 is a bartender.",yes
"Consider the following premises: For all z, z will drive a car and z will cook. Can we infer the following from them? Answer yes or no: There is at least one x_2 for which x_2 will drive a car.",yes
"Consider the following premises: For all x_9, x_9 is bored. For all x_9, x_9 is not poor or x_9 will work. For all x_9, if x_9 were bored, then x_9 is poor. Can we infer the following from them? Answer yes or no: For all x_9, x_9 will work.",yes
"Consider the following premises: For all x_6, if x_6 cooks, then x_6 is working. For all x_6, if x_6 makes tea, then x_6 is climbing a mountain. For all x_6, if x_6 works, then x_6 is making tea. Can we infer the following from them? Answer yes or no: For all x_6, x_6 will not cook or x_6 will climb a mountain.",yes
"Consider the following premises: For all w, w is a bartender if and only if w will drive a car. Can we infer the following from them? Answer yes or no: There is at least one w for which the fact that w were a bartender does not imply that w is driving a car.",no
"Consider the following premises: For all x_9, x_9 will take a plane and for all x_9, x_9 is a soldier. Can we infer the following from them? Answer yes or no: William is taking a plane.",yes
"Consider the following premises: For all x_3, x_3 will cook if and only if x_3 will climb a mountain. Can we infer the following from them? Answer yes or no: For all x_3, x_3 is a sailor.",no
"Consider the following premises: For all x_7, if x_7 works, then x_7 is an office clerk. There is at least one x_7 for which if x_7 were an office clerk, then x_7 is a doctor. For all x_7, if x_7 were a doctor, then x_7 is taking a plane. For all x_7, if x_7 takes a plane, then x_7 is driving a car. Can we infer the following from them? Answer yes or no: There is at least one x_7 for which if x_7 works, then x_7 is driving a car.",yes
"Consider the following premises: For all x_7, x_7 will work if and only if x_7 will drive a car. For all x_7, if x_7 drives a car, then x_7 is a server. There is at least one x_7 for which x_7 is not a server. Can we infer the following from them? Answer yes or no: There is at least one x_7 for which x_7 will not work.",yes
"Consider the following premises: For all u_4, u_4 is not an astronaut. For all u_4, u_4 is not happy or u_4 is an astronaut. For all u_4, if u_4 were an astronaut, then u_4 is happy. Can we infer the following from them? Answer yes or no: For all u_4, u_4 is a server.",no
"Consider the following premises: For all x_6, x_6 will play squash if and only if x_6 will take a plane. For all x_6, if x_6 were a carpenter, then x_6 is taking a plane. For all x_6, x_6 is a carpenter or x_6 will play squash. Can we infer the following from them? Answer yes or no: There is at least one x_6 for which x_6 will not take a plane.",no
"Consider the following premises: For all x_6, if x_6 listens to a song, then x_6 is a taxi driver. For all x_6, x_6 will not work or x_6 is a taxi driver. There is at least one x_6 for which x_6 will work or x_6 will listen to a song. Can we infer the following from them? Answer yes or no: There is at least one x_6 for which x_6 is a taxi driver.",yes
"Consider the following premises: For all x_6, if x_6 goes running, then x_6 is a lawyer. There is at least one x_6 for which if x_6 goes running, then x_6 is a lawyer and if x_6 were a lawyer, then x_6 is running. Can we infer the following from them? Answer yes or no: There is at least one x_6 for which x_6 is a lawyer if and only if x_6 will go running.",yes
"Consider the following premises: For all z_4, z_4 will work and z_4 will cook. Can we infer the following from them? Answer yes or no: For all u, u will work.",no
"Consider the following premises: For all x_6, x_6 will go running or x_6 is a cashier. For all x_6, if x_6 were a cashier, then x_6 is an astronaut. There is at least one x_6 for which if x_6 goes running, then x_6 is an astronaut. Can we infer the following from them? Answer yes or no: There is at least one x_6 for which x_6 will make tea.",no
"Consider the following premises: There is at least one x_5 for which if x_5 were fast, then x_5 is climbing a mountain. For all x_5, if x_5 were a cashier, then x_5 is fast. For all x_5, if x_5 climbs a mountain, then x_5 is a cashier. Can we infer the following from them? Answer yes or no: There is at least one x_5 for which if x_5 were fast, then x_5 is climbing a mountain and if x_5 climbs a mountain, then x_5 is fast.",yes
"Consider the following premises: For all z_3, z_3 is a mechanic if and only if z_3 is a politician. For all z_3, if z_3 were a mechanic, then z_3 is not reading a book. Barbara is reading a book. Can we infer the following from them? Answer yes or no: For all z_3, z_3 is a politician.",no
"Consider the following premises: For all x_3, x_3 is an office clerk and x_3 is an office clerk. Can we infer the following from them? Answer yes or no: For all u, u is an office clerk.",yes
"Consider the following premises: For all x_15, x_15 will take a plane or x_15 is an electrician. There is at least one x_15 for which x_15 is not an electrician. Can we infer the following from them? Answer yes or no: There is at least one x_15 for which x_15 will take a plane.",yes
"Consider the following premises: For all z, if z plays squash, then z is a poet. For all z, z is a poet or z will take a plane. There is at least one z for which z will not take a plane. Can we infer the following from them? Answer yes or no: There is at least one z for which z will play squash.",no
"Consider the following premises: For all x_7, x_7 is a mechanic if and only if x_7 is an artist. Mary is climbing a mountain. For all x_7, if x_7 were an artist, then x_7 is climbing a mountain. Can we infer the following from them? Answer yes or no: Mary is a mechanic.",no
"Consider the following premises: For all x_14, x_14 will not drink water or x_14 will listen to a song. There is at least one x_14 for which x_14 will listen to a song. Can we infer the following from them? Answer yes or no: There is at least one x_14 for which x_14 will drink water.",no
"Consider the following premises: X_8 is driving a car. For all y_8, y_8 will write a letter or y_8 will drive a car. Can we infer the following from them? Answer yes or no: For all y_8, y_8 will write a letter.",no
"Consider the following premises: There is at least one x_11 for which x_11 will play a game if and only if x_11 will drive a car. For all x_11, if x_11 drives a car, then x_11 is an astronaut. For all x_11, x_11 will not work. For all x_11, if x_11 plays a game, then x_11 is working. Can we infer the following from them? Answer yes or no: There is at least one x_11 for which x_11 is not an astronaut.",no
"Consider the following premises: For all x_10, x_10 will drive a car. For all x_10, if x_10 drives a car, then x_10 is a janitor. There is at least one x_10 for which x_10 is a janitor or there is at least one x_10 for which x_10 is a server. Can we infer the following from them? Answer yes or no: There is at least one x_10 for which x_10 is a server.",no
"Consider the following premises: For all z, z is happy or z is a politician. There is at least one z for which z is not a politician. For all z, if z were a poet, then z is happy. Can we infer the following from them? Answer yes or no: There is at least one z for which z is a poet.",no
"Consider the following premises: For all x_6, if x_6 sleeps, then x_6 is drinking water. For all x_6, if x_6 drinks water, then x_6 is a scientist. There is at least one x_6 for which x_6 will not sleep. For all x_6, if x_6 were a scientist, then x_6 is writing a letter. Can we infer the following from them? Answer yes or no: There is at least one x_6 for which x_6 will not write a letter.",no
"Consider the following premises: For all x_10, if x_10 sleeps, then x_10 is rich. For all x_10, x_10 will sleep. There is at least one x_10 for which x_10 is rich or there is at least one x_10 for which x_10 will climb a mountain. Can we infer the following from them? Answer yes or no: There is at least one x_10 for which x_10 will climb a mountain.",no
